Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,Harper Perennial Modern Classics ,Paperback,323,2006,1960,2018/06/22,2018/06/22,,,read,,,,1,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",4,Sceptre,Hardcover,342,2018,2018,2018/06/15,2018/06/15,,,read,,,,1,0
906595,Eagle in the Sky,Wilbur Smith,"Smith, Wilbur",,"=""0330244043""","=""9780330244046""",5,Pan Macmillan,Paperback,336,1988,1974,2018/05/25,2018/05/14,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",4,Back Bay Books,Paperback,277,2001,1951,2018/01/19,2018/01/18,,,read,,,,1,0
389627,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,"Kinney, Jeff",,"=""0810993139""","=""9780810993136""",4,Amulet Books,Hardcover,226,2007,2007,2017/01/10,2017/04/23,,,read,,,,1,0
5501276,Imagining India: The Idea of a Renewed Nation,Nandan Nilekani,"Nilekani, Nandan",,"=""1594202044""","=""9781594202049""",4,Penguin Press HC,Hardcover,511,2009,2008,2017/01/01,2017/09/16,,,read,,,,1,0
4427672,Warren Buffett and the Interpretation of Financial Statements,Mary Buffett,"Buffett, Mary",David      Clark,"=""1416573186""","=""9781416573180""",0,Scribner,Hardcover,180,2008,2008,2017/01/01,2017/08/10,,,read,,,,1,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Irina Henegar, Barry Fox","=""0316010669""","=""9780316010665""",4,Back Bay Books,Paperback,296,2007,2005,2017/01/01,2017/04/23,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,St. Martin's Griffin,Paperback,264,2004,1939,2017/01/01,2017/04/23,,,read,,,,1,0
3293821,"The Last Straw (Diary of a Wimpy Kid, #3)",Jeff Kinney,"Kinney, Jeff",,"=""0810970686""","=""9780810970687""",4,Amulet Books,Hardcover,218,2014,2009,2017/01/01,2017/04/23,,,read,,,,1,0
